area_type,area,age_0_4_male,age_5_9_male,age_10_14_male,age_15_19_male,age_20_24_male,age_25_29_male,age_30_34_male,age_35_39_male,age_40_44_male,age_45_49_male,age_50_54_male,age_55_59_male,age_60_64_male,age_65_69_male,age_70_74_male,age_75_79_male,age_80_84_male,age_85_above_male,age_0_4_female,age_5_9_female,age_10_14_female,age_15_19_female,age_20_24_female,age_25_29_female,age_30_34_female,age_35_39_female,age_40_44_female,age_45_49_female,age_50_54_female,age_55_59_female,age_60_64_female,age_65_69_female,age_70_74_female,age_75_79_female,age_80_84_female,age_85_above_female
district,Kinta,-30997.0,-40406.0,-35374.0,-38021.0,-35523.0,-37031.0,-37198.0,-40717.0,-34835.0,-24977.0,-22912.0,-24380.0,-19917.0,-15879.0,-11199.0,-5847.0,-3815.0,-1808.0,29785.0,38095.0,31865.0,34463.0,28428.0,27932.0,30383.0,34166.0,31154.0,25620.0,24161.0,25907.0,21320.0,17391.0,12421.0,6813.0,4942.0,3085.0
district,Kerian,-5183.0,-7303.0,-7491.0,-8530.0,-7525.0,-6859.0,-6397.0,-6237.0,-5299.0,-4996.0,-4811.0,-5007.0,-3488.0,-2769.0,-1939.0,-1024.0,-596.0,-226.0,4722.0,6559.0,6756.0,7996.0,6382.0,5485.0,5180.0,5331.0,4905.0,5063.0,5114.0,4951.0,3811.0,3205.0,2547.0,1334.0,857.0,474.0
district,Kuala Kangsar,-6033.0,-8132.0,-8231.0,-8642.0,-8432.0,-6866.0,-6633.0,-6910.0,-5561.0,-4248.0,-4208.0,-4592.0,-3659.0,-3000.0,-1995.0,-1156.0,-716.0,-323.0,6142.0,8035.0,7484.0,7795.0,7963.0,5704.0,5959.0,6037.0,4946.0,4469.0,4481.0,4989.0,4145.0,3305.0,2364.0,1293.0,984.0,628.0
district,Larut Dan Matang,-10191.0,-13783.0,-11150.0,-11326.0,-10777.0,-10983.0,-10718.0,-10758.0,-9306.0,-7527.0,-7021.0,-7505.0,-6748.0,-5132.0,-3551.0,-1710.0,-1004.0,-569.0,9251.0,11632.0,10425.0,10627.0,8571.0,8545.0,8921.0,9072.0,8020.0,7284.0,7764.0,8383.0,7108.0,5791.0,3878.0,2225.0,1397.0,931.0
district,Hilir Perak,-3795.0,-5106.0,-5847.0,-6664.0,-6801.0,-7510.0,-6724.0,-6309.0,-5043.0,-4149.0,-3769.0,-4065.0,-3196.0,-2885.0,-1993.0,-1133.0,-582.0,-323.0,3710.0,4959.0,5590.0,6429.0,4455.0,4864.0,4362.0,4269.0,4095.0,3693.0,4045.0,4114.0,3592.0,2998.0,2214.0,1264.0,843.0,569.0
district,Hulu Perak,-3895.0,-4949.0,-4933.0,-4968.0,-3927.0,-4111.0,-3798.0,-3600.0,-3121.0,-2344.0,-2216.0,-2190.0,-1894.0,-1513.0,-982.0,-520.0,-310.0,-136.0,3606.0,4778.0,4617.0,4747.0,3393.0,3162.0,3227.0,2935.0,2599.0,2307.0,2345.0,2153.0,2001.0,1478.0,1026.0,574.0,446.0,275.0
district,Perak Tengah,-2949.0,-4103.0,-3734.0,-4801.0,-8052.0,-3720.0,-3812.0,-3473.0,-2869.0,-2219.0,-2169.0,-2151.0,-1787.0,-1297.0,-826.0,-398.0,-282.0,-121.0,2690.0,3795.0,3703.0,4617.0,6848.0,2937.0,3046.0,3076.0,2494.0,2292.0,2252.0,2203.0,1863.0,1516.0,1111.0,606.0,491.0,270.0
district,Kampar,-2564.0,-3835.0,-3717.0,-4971.0,-6584.0,-3320.0,-3322.0,-3304.0,-2925.0,-2403.0,-2496.0,-3407.0,-2477.0,-2087.0,-1499.0,-819.0,-554.0,-245.0,2582.0,3391.0,3053.0,4528.0,6431.0,2683.0,3074.0,2872.0,2684.0,2537.0,2624.0,3460.0,2561.0,2123.0,1588.0,945.0,645.0,422.0
district,Muallim,-2170.0,-2665.0,-2493.0,-3611.0,-7601.0,-3228.0,-2864.0,-2675.0,-2005.0,-1418.0,-1298.0,-1250.0,-1150.0,-988.0,-727.0,-297.0,-188.0,-97.0,2027.0,2573.0,2342.0,3267.0,12738.0,2866.0,2272.0,2283.0,1616.0,1403.0,1294.0,1430.0,1391.0,1071.0,655.0,338.0,251.0,146.0
district,Bagan Datuk,-1654.0,-2443.0,-3440.0,-6643.0,-2727.0,-3864.0,-5787.0,-3688.0,-6002.0,-1845.0,-1952.0,-1751.0,-1485.0,-1145.0,-762.0,-380.0,-203.0,-127.0,1619.0,2271.0,3036.0,5518.0,2024.0,2292.0,2353.0,2217.0,3929.0,2841.0,1825.0,1851.0,1615.0,1509.0,994.0,500.0,282.0,211.0
district,Selama,-1163.0,-1483.0,-1513.0,-1639.0,-1495.0,-1446.0,-1315.0,-1185.0,-1033.0,-878.0,-909.0,-1009.0,-784.0,-666.0,-461.0,-207.0,-165.0,-65.0,1068.0,1517.0,1464.0,1627.0,1308.0,1148.0,1043.0,1019.0,896.0,921.0,1057.0,1113.0,915.0,749.0,520.0,313.0,222.0,123.0
