UMUR_KSH,NEGERI_SEMASA,DAERAH_SEMASA,STRATA_SEMASA,JANTINA,KSH_PAKAIAN,KSH_PERUMAHAN,KSH_BRG_THN_LAMA,KSH_PENGANGKUTAN,KSH_LAIN_LAIN,KSH_MAKANAN_TOTAL,KSH_INDIVIDU_MIN,KSH_INDIVIDU_MAX,KSH_INDIVIDU_MEAN,DI_MIN,DI_MAX,DI_MEAN,DI_BANTUAN_MIN,DI_BANTUAN_MAX,DI_BANTUAN_MEAN,DI_BERSIH_MIN,DI_BERSIH_MAX,DI_BERSIH_MEAN,DI_BERSIH_BANTUAN_MIN,DI_BERSIH_BANTUAN_MAX,DI_BERSIH_BANTUAN_MEAN,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0304,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0304,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0304,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0305,01,1,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0305,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0305,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0305,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0306,01,1,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0306,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0306,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0306,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0307,01,1,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0307,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0307,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0307,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0308,01,1,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0308,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0308,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0308,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0309,01,1,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0309,01,2,36.93,313.07,47.43,119.78,215.42,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0309,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0309,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0310,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0310,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0311,02,1,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,03,0311,02,2,28.53,250.45,26.65,93.92,214.81,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0-5 bulan,04,0401,01,1,38.35,544.29,46.95,112,230.58,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
