date,time,state,city,latitude,longitude,temperature_2m,relativehumidity_2m,rain,windspeed_10m,weathercode,description
2024-08-28,06:00:00,Perlis,Kangar,6.4333,100.2,25.6,95,0.1,8.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,06:00:00,Melaka,Melaka,2.1889,102.2511,25.2,89,0.0,8.4,3,Clouds generally forming or developing
2024-08-28,06:00:00,Kedah,Alor Setar,6.1167,100.3667,25.7,89,0.0,9.7,95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation"
2024-08-28,06:00:00,Johor,Johor Bahru,1.4556,103.7611,25.1,91,0.0,4.7,81,"Rain shower(s), moderate or heavy"
2024-08-28,06:00:00,Sarawak,Bintulu,3.17,113.03,25.4,94,0.0,3.6,3,Clouds generally forming or developing
2024-08-28,06:00:00,Kelantan,Kota Bharu,6.1333,102.25,24.8,95,0.0,4.3,3,Clouds generally forming or developing
2024-08-28,06:00:00,Johor,Batu Pahat,1.85,102.93,25.1,94,0.0,3.0,3,Clouds generally forming or developing
2024-08-28,06:00:00,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,25.1,92,0.0,3.6,3,Clouds generally forming or developing
2024-08-28,06:00:00,Selangor,Klang,3.0333,101.45,23.8,91,0.0,3.7,3,Clouds generally forming or developing
2024-08-28,06:00:00,Sabah,Kota Kinabalu,5.975,116.0725,26.8,85,0.0,5.7,3,Clouds generally forming or developing
2024-08-28,06:00:00,Sabah,Sandakan,5.8388,118.1173,24.4,99,0.0,4.6,2,State of sky on the whole unchanged
2024-08-28,06:00:00,Sarawak,Kuching,1.5397,110.3542,24.4,97,0.0,2.4,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,06:00:00,Johor,Kluang,2.0336,103.3194,24.4,96,0.0,2.6,3,Clouds generally forming or developing
2024-08-28,06:00:00,Terengganu,Kuala Terengganu,5.3303,103.1408,24.6,96,0.0,1.0,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
2024-08-28,06:00:00,Sarawak,Sibu,2.3,111.8167,23.9,98,0.0,2.2,45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour"
