weathercode,description,time,temperature_2m,relativehumidity_2m,rain,windspeed_10m,state,city,latitude,longitude,date
80,"Rain shower(s), slight",03:00:00,25.7,90,0.0,8.7,Sarawak,Miri,4.4028,113.9933,2026-02-06
2,State of sky on the whole unchanged,03:00:00,24.6,83,0.0,6.3,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
80,"Rain shower(s), slight",03:00:00,25.4,93,0.0,3.4,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
3,Clouds generally forming or developing,03:00:00,24.0,95,0.0,2.8,Sarawak,Kuching,1.5397,110.3542,2026-02-06
3,Clouds generally forming or developing,02:00:00,23.5,91,0.0,2.3,Kelantan,Kota Bharu,6.1333,102.25,2026-02-06
1,Clouds generally dissolving or becoming less developed,02:00:00,26.9,81,0.0,7.3,Sabah,Tawau,4.2448,117.8911,2026-02-06
2,State of sky on the whole unchanged,02:00:00,25.7,88,0.0,1.8,Putrajaya,Putrajaya,2.93,101.69,2026-02-06
80,"Rain shower(s), slight",02:00:00,24.5,89,0.0,2.3,Pahang,Kuala Lipis,4.184,102.042,2026-02-06
80,"Rain shower(s), slight",02:00:00,26.0,87,0.0,12.0,Labuan,Labuan,5.2803,115.2475,2026-02-06
2,State of sky on the whole unchanged,02:00:00,25.5,85,0.0,17.6,Melaka,Melaka,2.1889,102.2511,2026-02-06
3,Clouds generally forming or developing,02:00:00,25.9,87,0.0,7.1,Sabah,Sandakan,5.8388,118.1173,2026-02-06
3,Clouds generally forming or developing,02:00:00,26.7,90,0.0,3.7,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
3,Clouds generally forming or developing,02:00:00,24.7,90,0.0,6.6,Johor,Johor Bahru,1.4556,103.7611,2026-02-06
3,Clouds generally forming or developing,02:00:00,23.7,92,0.0,4.7,Pahang,Kuantan,3.8167,103.3333,2026-02-06
3,Clouds generally forming or developing,02:00:00,25.1,91,0.0,7.2,Johor,Batu Pahat,1.85,102.93,2026-02-06
2,State of sky on the whole unchanged,02:00:00,26.5,82,0.0,12.6,Perlis,Kangar,6.4333,100.2,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",02:00:00,26.3,88,0.0,4.7,Sarawak,Bintulu,3.17,113.03,2026-02-06
3,Clouds generally forming or developing,02:00:00,23.2,93,0.0,2.7,Terengganu,Kuala Terengganu,5.3303,103.1408,2026-02-06
2,State of sky on the whole unchanged,02:00:00,25.9,85,0.0,14.0,Johor,Muar,2.05,102.56,2026-02-06
3,Clouds generally forming or developing,02:00:00,25.9,89,0.0,3.9,Sabah,Kota Kinabalu,5.975,116.0725,2026-02-06
3,Clouds generally forming or developing,02:00:00,27.8,77,0.0,4.8,Pulau Pinang,George Town,5.4145,100.3292,2026-02-06
2,State of sky on the whole unchanged,02:00:00,24.7,85,0.0,6.3,Negeri Sembilan,Seremban,2.7297,101.9381,2026-02-06
80,"Rain shower(s), slight",02:00:00,28.4,90,0.0,3.5,Perak,Taiping,4.85,100.7333,2026-02-06
3,Clouds generally forming or developing,02:00:00,26.8,84,0.0,3.6,Kedah,Sungai Petani,5.65,100.48,2026-02-06
2,State of sky on the whole unchanged,02:00:00,26.2,89,0.0,2.2,Selangor,Petaling Jaya,3.1073,101.6067,2026-02-06
3,Clouds generally forming or developing,02:00:00,24.1,91,0.0,5.6,Sabah,Lahad Datu,5.03,118.34,2026-02-06
45,"Fog or ice fog, sky invisible no appreciable change during the preceding hour",02:00:00,21.2,99,0.0,1.6,Pahang,Raub,3.7931,101.8569,2026-02-06
1,Clouds generally dissolving or becoming less developed,02:00:00,26.3,83,0.0,15.8,Kedah,Alor Setar,6.1167,100.3667,2026-02-06
3,Clouds generally forming or developing,02:00:00,24.2,93,0.0,6.9,Johor,Kluang,2.0336,103.3194,2026-02-06
80,"Rain shower(s), slight",02:00:00,26.6,84,0.0,0.5,Selangor,Klang,3.0333,101.45,2026-02-06
3,Clouds generally forming or developing,02:00:00,25.9,90,0.0,9.7,Sarawak,Miri,4.4028,113.9933,2026-02-06
3,Clouds generally forming or developing,02:00:00,27.9,77,0.0,4.8,Pulau Pinang,Butterworth,5.3992,100.3639,2026-02-06
2,State of sky on the whole unchanged,02:00:00,26.4,89,0.0,2.2,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
3,Clouds generally forming or developing,02:00:00,23.9,96,0.0,3.1,Sarawak,Kuching,1.5397,110.3542,2026-02-06
95,"Thunderstorm, slight or moderate, without hail** but with rain and/or snow at time of observation - Thunderstorm at time of observation",02:00:00,25.9,88,0.0,0.7,Selangor,Shah Alam,3.0833,101.5333,2026-02-06
3,Clouds generally forming or developing,02:00:00,27.6,77,0.0,4.8,Pulau Pinang,Bukit Mertajam,5.3631,100.4667,2026-02-06
3,Clouds generally forming or developing,01:00:00,27.1,88,0.0,3.8,Perak,Teluk Intan,4.0259,101.0213,2026-02-06
2,State of sky on the whole unchanged,01:00:00,26.7,88,0.0,2.3,Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,2026-02-06
2,State of sky on the whole unchanged,01:00:00,26.6,82,0.0,12.8,Johor,Muar,2.05,102.56,2026-02-06
