district_mukim,sample_size,avg_landsm,avg_floorsm,price_2021,price_2022,avg_pricePerct,location,types,source
Bandar Baru Wangsa Maju,2.0,148.5,135.57,780000 - 900000,824000 - 870000,Stable,Mukim Hulu Kelang,DOUBLE STOREY TERRACE,2022/WP KL
Taman Wangsa Jaya,1.0,204.76,164.76,,1100000,ND,Mukim Hulu Kelang,DOUBLE STOREY TERRACE,2022/WP KL
Wangsa Melawati,3.0,111.0,122.55666666666666,750000 - 765000,620000 - 730000,-12.541254125412541,Mukim Hulu Kelang,DOUBLE STOREY TERRACE,2022/WP KL
Bukit Anggerik,2.0,152.5,158.52,510000,540000 - 620000,13.725490196078432,Mukim Cheras,DOUBLE STOREY TERRACE,2022/WP KL
Taman Bukit Cheras,1.0,139.0,146.08499999999998,755000,800000,5.960264900662252,Mukim Cheras,DOUBLE STOREY TERRACE,2022/WP KL
Bandar Tun Abd Razak (Kampung Konggo),1.0,131.0,178.35000000000002,,535000,ND,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Bangsar Baru,11.0,173.74881818181814,178.92545454545456,1380000 - 2350000,1550000 - 2700000,11.650705759542493,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Bangsar Park,2.0,174.0,174.1625,1425000 - 2550000,1700000 - 2100000,7.526881720430108,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Bukit Bandaraya Area B,1.0,197.0,191.15,1920000 - 2150000,2100000,3.7891268533772693,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Bukit Bandaraya Area F,1.0,201.221,179.81,,2200000,ND,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Damansara Heights (Bukit Damansara),5.0,187.6,157.779,1275000 - 2100000,1500000 - 1830000,5.433526011560699,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Desa Aman,3.0,145.33333333333334,161.03,730000 - 860000,769000 - 850000,4.427097469036075,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Desa Sri Hartamas,1.0,153.0,171.305,1500000 - 1800000,1668000,Stable,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Fairview Garden,3.0,159.76166666666666,146.60333333333332,,900000 - 1200000,ND,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Lucky Garden (Jalan Bangsar),1.0,163.0,266.385,1300000 - 1550000,1550000,6.896551724137931,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Shanghai Garden,1.0,163.04,248.435,,830000,ND,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taynton View,3.0,153.33333333333334,178.36166666666668,850000,780000 - 850000,-3.7254901960784266,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Bukit Hijau,4.0,143.0,152.9625,905000,890000 - 1200000,12.154696132596685,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Cantik,1.0,153.3,182.0,630000 - 770000,800000,14.285714285714285,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Cheras (Yulek Heights),4.0,132.847,152.39375,633000 - 660000,625000 - 690000,2.5908739365815934,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Cheras Jaya,1.0,143.066,149.45,660000,688000,4.242424242424243,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Desa,11.0,179.0909090909091,170.34918181818182,1100000 - 1500000,1080000 - 1528000,Stable,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Midah,15.0,145.00439999999998,166.26733333333334,644000 - 850000,650000 - 920000,5.7162308773309505,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Mulia,4.0,147.503,182.37375,750000,720000 - 780000,Stable,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Mutiara,2.0,164.0,157.56,738000 - 870000,770000 - 855000,2.674810446503786,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Pertama,1.0,161.0,143.38,590000 - 620000,650000,7.43801652892562,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Rakyat,2.0,143.0,180.04,,700000 - 800000,ND,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman SA,2.0,209.5,220.34000000000003,2300000,2100000 - 2450000,Stable,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Segar,3.0,179.0,180.08833333333334,730000 - 780000,790000 - 850000,9.982332155477037,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Bahtera (Bukit Mewah & Bukit Asa),6.0,146.33333333333334,159.50750000000002,600000 - 768000,640000 - 930000,11.304780876494018,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Hartamas,5.0,173.0,171.501,1250000 - 2150000,1530000 - 1870000,3.0290872617853513,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Taman Tun Dr Ismail,23.0,174.30104347826085,182.9521739130435,1200000 - 2100000,1300000 - 1880000,2.374034870630416,Mukim Kuala Lumpur,DOUBLE STOREY TERRACE,2022/WP KL
Alam Sutera,2.0,143.0,217.045,990000,938000 - 1010000,Stable,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Bandar Baru Sri Petaling,16.0,172.8303125,165.23406249999996,760000  - 1030000,738000 - 1170000,-2.2410358565737054,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Bandar Tasik Selatan,3.0,121.33333333333333,143.85666666666668,600000 - 760000,650000 - 700000,Stable,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Bukit Indah,1.0,143.0,151.43,,800000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Happy Garden,6.0,152.84433333333334,170.02833333333334,615000 - 1000000,700000 - 1080000,3.289303289303294,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Overseas Union Garden,22.0,153.34545454545454,166.42090909090905,748000 - 1256000,760000 - 1230000,Stable,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Pekan Petaling,2.0,148.64,189.5075,,450000 - 480000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Alam Damai,4.0,163.5,155.19,675000 - 1150000,680000 - 1050000,5.193328278999242,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Angkasa (Jalan Puchong),1.0,284.0,171.035,,770000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Bukit Indah,2.0,164.0,163.96249999999998,,1000000 - 1050000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Bukit Intan,1.0,80.0,91.925,,499000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Lensen,2.0,143.0,161.59,490000 - 600000,490000 - 680000,10.516372795969765,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Orkid Desa,2.0,164.5,175.67749999999998,538000 - 650000,525000 - 628000,-2.205258693808312,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Pagar Ruyung,1.0,165.0,171.71,,820000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Cendekia (Taman Connaught),12.0,156.91666666666666,176.4045833333333,680000 - 750000,580000 - 785000,Stable,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Endah,7.0,100.0,118.32428571428571,633000 - 660000,620000 - 730000,2.596398188045525,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
United Garden (Taman Lee Yan Lian),1.0,148.64,144.925,,718000,ND,Mukim Petaling,DOUBLE STOREY TERRACE,2022/WP KL
Hotspring Garden,1.0,149.0,201.5,,700000,ND,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Sentul Garden,1.0,111.945,139.355,,530000,ND,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Taman Genting,2.0,125.65,170.5575,,620000 - 635000,ND,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Taman Melati,3.0,130.33333333333334,144.28333333333333,750000,745000 - 750000,Stable,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Taman Setapak Indah,1.0,139.0,142.92499999999998,,690000,ND,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Taman Setiawangsa,7.0,152.0,147.29785714285714,870000 - 1000000,800000 - 1200000,3.1321619556913713,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Taman Sri Rampai,1.0,134.0,204.59,940000,875000,-6.914893617021277,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Wangsa Melawati,2.0,100.0,105.4075,550000 - 740000,590000 - 630000,-5.426356589147287,Mukim Setapak,DOUBLE STOREY TERRACE,2022/WP KL
Kensington Parkhomes,1.0,148.0,213.645,,1820000,ND,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Petaling Garden,1.0,145.0,270.43,,850000,ND,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Sunway SPK Damansara,1.0,153.0,257.6,1590000 - 1830000,1860000,9.15492957746479,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Taman Megah Kepong,2.0,130.0,278.68,1100000,1100000 - 1170000,3.1818181818181817,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Taman Prima Pelangi,2.0,156.5,226.42000000000002,950000 - 1000000,870000 - 1100000,Stable,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Taman Fadason,3.0,143.0,278.4533333333334,980000 - 1230000,1200000,8.761329305135959,Mukim Batu,TWO AND HALF STOREY TERRACE,2022/WP KL
Gasing Indah,1.0,154.0,173.38,,900000,ND,Mukim Kuala Lumpur,TWO AND HALF STOREY TERRACE,2022/WP KL
Bandar Baru Sri Petaling,2.0,173.0,173.15,1050000,950000 - 1100000,-2.380952380952381,Mukim Petaling,TWO AND HALF STOREY TERRACE,2022/WP KL
Bukit Jalil,2.0,189.0,273.265,1775000  - 1800000,1730000 - 1835000,Stable,Mukim Petaling,TWO AND HALF STOREY TERRACE,2022/WP KL
Happy Garden,1.0,143.0,214.75,1100000,1160000,5.454545454545454,Mukim Petaling,TWO AND HALF STOREY TERRACE,2022/WP KL
Jalil Sutera,1.0,171.0,278.29,,1900000,ND,Mukim Petaling,TWO AND HALF STOREY TERRACE,2022/WP KL
Salak South Garden,1.0,130.0,194.8755,,1028000,ND,Mukim Petaling,TWO AND HALF STOREY TERRACE,2022/WP KL
Bukit Wangsa Mas,1.0,184.0,341.78499999999997,,1280000,ND,Mukim Setapak,TWO AND HALF STOREY TERRACE,2022/WP KL
Taman Segambut Indah,1.0,82.0,130.565,588000,650000,10.54421768707483,Mukim Batu,THREE STOREY LOW - COST TERRACE,2022/WP KL
Taman Sri Sinar,12.0,58.60208333333333,89.42791666666666,330000 - 600000,349000 - 618000,11.003255218609228,Mukim Batu,THREE STOREY LOW - COST TERRACE,2022/WP KL
Desa Setapak,7.0,55.0,81.14,402000 - 500000,385000 - 450000,-5.339214678104626,Mukim Setapak,THREE STOREY LOW - COST TERRACE,2022/WP KL
Taman Datuk Senu,5.0,55.0,94.321,340000 - 400000,320000 - 390000,Stable,Mukim Setapak,THREE STOREY LOW - COST TERRACE,2022/WP KL
Taman Sentul Jaya,2.0,55.0,104.0025,330000 - 450000,350000 - 500000,6.25,Mukim Setapak,THREE STOREY LOW - COST TERRACE,2022/WP KL
Taman Persiaran Desa,1.0,144.0,163.42000000000002,1200000,1050000,-12.5,THREE STOREY TERRACE,THREE STOREY TERRACE,2022/WP KL
Desa Park City (Adora),2.0,81.0,178.5,1750000,1980000,13.714285714285715,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa Parkcity (Casaman),2.0,215.5,453.015,3480000 - 4450000,3800000 - 4350000,Stable,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa Park City (Levenue),2.0,164.0,281.7025,,2280000 - 2550000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa  Park City (Nadia),1.0,115.0,237.0,,2400000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa Park City (Safa),1.0,153.0,234.35,,2288000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa Park City (The Breezeway),3.0,144.66666666666666,289.76666666666665,2750000 - 3400000,2800000 - 2860000,-3.8089823763501935,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Desa Park City (Zenia),3.0,137.33333333333334,280.4866666666667,2570000 - 2800000,2800000,4.712041884816754,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Duta Tropika,2.0,223.0,409.885,3300000 - 4100000,3280000 - 4150000,Stable,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Impiana Sentul Bahagia,1.0,145.0,252.805,,1200000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Kepong Entrepreneurs Park,2.0,143.0,186.9845,,1115000 - 1200000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Laman Residence,2.0,171.0,270.21750000000003,,1190000 - 1200000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Laman Rimbunan,2.0,153.0,266.515,1260000,1220000 - 1350000,Stable,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
Taman Damai Jaya Selayang,1.0,150.0,284.78000000000003,,1300000,ND,Mukim Batu,THREE STOREY TERRACE,2022/WP KL
