Store,Address,state
LOTUSS PUCHONG,"LOTUSS PUCHONG NO. 148-149, PUSAT BANDAR PUCHONG 3 OFF JALAN PUCHONG 47100 PUCHONG SELANGOR",SELANGOR
KK SUPER MART (TAMAN SRI SAUJANA),"NO.51, JALAN SS 2/6, TAMAN SRI SAUJANA, 81900 KOTA TINGGI, JOHOR. 81900 KOTA TINGGI JOHOR",JOHOR
99 SPEEDMART SDN BHD (TAMAN SEREMBAN JAYA 3) - 1992,NO : 529 (GROUND FLOOR) JALAN SJ 9/1 TAMAN SEREMBAN JAYA 70450 SEREMBAN NEGERI SEMBILAN,NEGERI SEMBILAN
HWA THAI SUPERMARKET (PUTERI MART),JALAN BELADAU 17 TAMAN PUTERI WANGSA 81800 ULU TIRAM JOHOR,JOHOR
QIZTINA ENTERPRISE - ASAP,PUNAN LAND DISTRICT SG. ASAP @ DEPAN SIMPANG UMA KULIT SUNGAI ASAP 96950 BELAGA SARAWAK,SARAWAK
H&L RETAIL SDN BHD (AIMAN MALL),"GROUND FLOOR NO.29, AIMAN MALL JALAN DATO MOHD MUSA 94300 KOTA SAMARAHAN SARAWAK",SARAWAK
HOCK HIN 2015,"LOT 73, JALAN PAHLAWAN, SARATOK BAZAAR 95400 SARATOK 95400 SARATOK SARAWAK",SARAWAK
PASARAYA WELL-MART DS1,"BLOCK B-G-03A, APARTMENT IDAMAN JALAN PJU 10/1 DAMANSARA DAMAI 47830 PETALING JAYA SELANGOR",SELANGOR
KK SUPER MART (TAMAN MEGAH),"NO.1, JALAN MEGAH 29, TAMAN MEGAH CHERAS 43200 KAJANG SELANGOR",SELANGOR
MYGROCER (VJW 1576),NO 5 JALAN PTP 1/6 TAMAN PERINDUSTRIAN TASIK PERDANA 47120 PUCHONG SELANGOR,SELANGOR
SEGI FRESH (SALAK TINGGI),"SEGI FRESH SALAK TINGGI NO. 38, 40, & 42, JALAN SEROJA 7 TAMAN SEROJA 43900 SALAK TINGGI SELANGOR",SELANGOR
99 SPEEDMART SDN BHD (SULTAN SULEIMAN1) -,"NO. 107, LINTANG SULTAN MOHAMAD 1B, PUSAT PERDAGANGAN BANDAR SULTAN SULEIMAN 42000 PELABUHAN KLANG SELANGOR",SELANGOR
Q MART (BUKIT BAYAS),"LOT 68 & 69, JALAN PASIR PANJANG 21100 KUALA TERENGGANU TERENGGANU",TERENGGANU
DOREMART SIBU HANNS,"NO.24-30, 46 &47 & COMMON AREA, G/F LOT 660 BLOCK 7 SIBU TOWN DISTRICT 96000 SIBU SARAWAK",SARAWAK
99 SPEEDMART SDN BHD (TMN SEMELING INDAH)-2846,NO: A1 & A2 (GROUND FLOOR) JALAN SEMELING MAJU 1 TAMAN SEMELING SETIA 08100 BEDONG KEDAH,KEDAH
99 SPEEDMART SDN BHD (TMN FAJAR KLUANG) - 2120,"NO : 12 & 14 (GROUND FLOOR), JALAN KAMPUNG TENGAH 2 TAMAN FAJAR JAYA 86000 KLUANG JOHOR",JOHOR
99 SPEEDMART SDN BHD (MITC PERDANA) - 1981,"NO: 24 & 26 (GROUND FLOOR), JALAN LINGKARAN MITC KOMPLEKS PERNIAGAAN MITC PERDANA 75450 HANG TUAH JAYA MELAKA",MELAKA
PASARAYA JAYA GADING (CHERATING),"A19, A21, A23, A25, A27 JALAN CHERATING INDAH 1 26080 KUANTAN PAHANG",PAHANG
99 SPEEDMART SDN BHD (TAMAN SURIAN) - 2925,NO: 11 & 12 (GROUND FLOOR) JALAN SURIAN 11 TAMAN SURIAN 71700 MANTIN NEGERI SEMBILAN,NEGERI SEMBILAN
BATARAS SUPERSTORE RANAU,"KG.SINARUT, TAMAN DAHLIA P.O BOX 67, 89307 RANAU SABAH",SABAH
UPWELL SUPERMARKET SDN BHD - BAU,"LOT 704, BAU TOWN DISTRICT SUBLOT 1-7, JALAN SERINGGOK 94000 BAU SARAWAK",SARAWAK
BATU BERENDAM FAMILY STORE SDN BHD,GUDANG JKR 1336 BATU BERENDAM 75350 BATU BERENDAM MELAKA,MELAKA
SERVAY EVERGREEN SDN BHD - SHPT,"BLOCK.K, LOT 1, LORONG GRAND PLAZA 3, GRAND PLAZA PUTATAN 89500 PUTATAN SABAH",SABAH
MYGROCER (VHE 2057),NO 5 JALAN PTP 1/6 TAMAN PERINDUSTRIAN TASIK PERDANA 47120 PUCHONG SELANGOR,SELANGOR
SEGI FRESH TRONOH,"NO. 27G, 29G & 31G PERSIARAN BARU, TAMAN TRONOH BARU 31750 TRONOH PERAK",PERAK
PASARAYA HALALANA,"LOT 2519, LOT A & B, KAMPUNG ANA 16210 TUMPAT KELANTAN",KELANTAN
99 SPEEDMART SDN BHD (TMN CAHAYA MASAI) - 2285,"NO: 35 & 37 (GROUND FLOOR), JALAN INTAN 13 TAMAN CAHAYA MASAI KAMPUNG MASJID LAMA 81700 PASIR GUDANG JOHOR",JOHOR
ICON MART (BP) SDN. BHD. (TMN MURNI),"NO. 45, JALAN KUNING, TAMAN MURNI, 83000 BATU PAHAT JOHOR",JOHOR
FRESH HUB TAMAN MANIS,"NO 27, 28 & 29 JALAN MANIS 2 TAMAN MANIS KELAPA SAWIT 81030 KULAI JOHOR",JOHOR
ECO-SHOP LUMUT,"NO. 11, 12, 13, 14, 15 GRD FLR, JALAN LUMUT MEWAH 2/1 TAMAN LUMUT MEWAH 32040 LUMUT PERAK",PERAK
PASAR RAYA ANAK KURAU,NO. 1 & 3 GROUND FLOOR LINTANG AMAN 1 TAMAN KURAU AMAN 34350 KUALA KURAU PERAK,PERAK
