Store,Address,State,Latitude,Longitude
H&L RETAIL SDN BHD (17TH MILE),"LOT 1968, BLOCK 6, SENTAH SAGU LAND DISTRICT, JALAN KUCHING - SERIAN 94200 KUCHING SARAWAK",SARAWAK,1.4393954,110.3291113
99 SPEEDMART SDN BHD (TMN EKO BOTANI) - 2490,"NO: 35 & 37 (GROUND FLOOR), JALAN EKO BOTANI 3/5 TAMAN EKO BOTANI KAMPUNG MASJID LAMA 79100 NUSAJAYA JOHOR",JOHOR,1.439608,103.6187882
SEN SEN DEPARTMENTAL STORE SDN.BHD. (KOTA SAMARAHAN),SUBLOT 50-56 LOT 3022 BLOCK 1 SAMARAHAN LAND DISTRICT JALAN DATUK MOHD MUSA 94300 KOTA SAMARAHAN SARAWAK,SARAWAK,1.4399764,110.3618765
ECO-SHOP AIMAN MALL,"G32, G33, G59, G60 & PART CORRIDOR (GROUND FLOOR) & F3 (1ST FLOOR LOT 125, BLK 26 MTLD, JALAN DATO' MOHD MUSA 94300 KOTA SEMARAHAN SARAWAK",SARAWAK,1.4399764,110.3618765
FRESH HUB (KAMPUNG PASIR PUTIH),"NO.35, 37, 39 & 41 JALAN PENGKALAN 5, TAMAN PASIR MAS KAMPUNG PASIR PUTIH 81700 PASIR GUDANG JOHOR",JOHOR,1.4405661,103.9320014
LEPAPA SUPERMARKET SINIAWAN,"S/L NO.2-8. SINIAWAN TOWN DISTRICT, JALAN KUCHING -BAU,94000 BAU 94000 BAU SARAWAK",SARAWAK,1.4410513,110.2272916
99 SPEEDMART SDN BHD (NUSA PUNCAK) - 2764,"NO: 7 (GROUND FLOOR), JALAN NUSA PUNCAK 1 TAMAN NUSA PUNCAK 81550 GELANG PATAH JOHOR",JOHOR,1.4427569,103.5984148
MY MIX MART SDN. BHD. (TMN PASIR EMAS),"NO 6,8,10 JALAN PENGKALAN 5, TAMAN PASIR EMAS 81700 PASIR GUDANG JOHOR",JOHOR,1.4429555,103.9314357
KK SUPER MART (SINIAWAN CENTRAL KUCHING),"GROUND FLOOR, SUBLOT 19 (SURVEY LOT 1542), LOT 411 BLOCK 10 SPLD, NO.94, SINIAWAN CENTRAL 94000 BAU SARAWAK",SARAWAK,1.4441841,110.2313601
H&L RETAIL SDN BHD (AIMAN MALL),"GROUND FLOOR NO.29, AIMAN MALL JALAN DATO MOHD MUSA 94300 KOTA SAMARAHAN SARAWAK",SARAWAK,1.4443786,110.335441
TUNG MIN TRADING SDN BHD,"SUBLOT 15, 16 & 17 LOT 142 & 143, BLOCK 10 TAMAN SENGGI SHOPHOUSE, JALAN SINIAWAN BYPASS 94000 KUCHING SARAWAK",SARAWAK,1.4446879,110.2116201
LEPAPA SUPERMARKET AIMAN,"LOTS 1094,2298,2299,2302 & 16716,(LOT 1641) BLOCK MUARA TUANG L.D,JALAN DATUK MOHAMMAD MUSA,94300 KOTA SAMARAHAN. 94300 KOTA SAMARAHAN SARAWAK",SARAWAK,1.4459739,110.384754
KANA HARAPAN JAYA TRADING SDN BHD (TMN TANJUNG PUTERI),"2, JALAN SELUANG 35, TAMAN TANJUNG PUTERI 81700 PASIR GUDANG JOHOR",JOHOR,1.4506786,103.9340034
SEN SEN DEPARTMENTAL STORE (MUARA TUANG),SUBLOT NO 9-16 BLOCK 26 MUARA TUANG LAND DISTRICT JALAN DATUK MOHD MUSA 94300 JALAN DATUK MOHD MUSA SARAWAK,SARAWAK,1.4520974,110.4390161
PASAR RAYA KANA HARAPAN JAYA TRADING SDN BHD (BDR NUSA JAYA),"2, JALAN NUSA PERINTIS 12, TAMAN NUSA PERINTIS 3, BANDAR NUSA JAYA 81550 GELANG PATAH JOHOR",JOHOR,1.4528542,103.5899162
99 SPEEDMART SDN BHD (TMN NUSA PERINTIS) - 2819,"NO: 12 & 14 (GROUND FLOOR), JALAN MEDAN NUSA PERINTIS 12 TAMAN NUSA PERINTIS 3 81550 GELANG PATAH JOHOR",JOHOR,1.452883,103.595255
GS MART (NUSA SENTRAL),NO 25 & 27 & 29 JALAN SENTRAL 2 TAMAN NUSA SENTRAL 79100 ISKANDAR PUTERI JOHOR,JOHOR,1.453353,103.593521
KK SUPER MART (KOTA SAMARAHAN 2 KUCHING),"GROUND FLOOR, SUBLOT 3, IMAN, KOTA SAMARAHAN, JALAN DATUK MUHAMMAD MUSA 94300 KUCHING SARAWAK",SARAWAK,1.4542101,110.4098756
FRESH HUB AIR BIRU,"NO 4,6,8&10 JALAN 10/28 AIR BIRU 81700 PASIR GUDANG JOHOR",JOHOR,1.4546339,103.9110514
99 SPEEDMART SDN BHD (TMN NUSA SENTRAL 1) - 2247,"NO 182 & 184 (GROUND FLOOR), JALAN SENTRAL 1 TAMAN NUSA SENTRAL KAMPUNG MASJID LAMA 79100 NUSAJAYA JOHOR",JOHOR,1.458025,103.633
RED MART (TMN AIR BIRU) SDN BHD,"NO. 5 & 6, JALAN 9/23, TAMAN AIR BIRU 81700 PASIR GUDANG JOHOR",JOHOR,1.4580841,103.9183544
TRIMAJU COLDSTORAGE (SAMARAHAN) SDN BHD,GF LOT 3162 BLK 1 SAMARAHAN LAND DISTRICT(PLOT 5) G/1 TAMAN DESA ILMU 94300 KOTA SAMARAHAN SARAWAK,SARAWAK,1.4592643,110.4889601
INDAI MART (SPAOH),NO. 4 PASARA SPAOH 95600 SPAOH SARAWAK,SARAWAK,1.4593878,111.4806964
TKK AGRICULTURE DEVELOPMENT SDN BHD,"LOT 433, BLOCK 32 MUARA TUANG LAND DISTRICT, ASAJAYA 1.5433140222777557, 110.60687370454968 95600 KUCHING SARAWAK",SARAWAK,1.459522,110.490601
KK SUPER MART (MUARA TUANG KUCHING),"LOT:13, BLOCK 26, MUARA TUANG LAND DISTRICT 93400 KOTA SAMARAHAN SARAWAK",SARAWAK,1.459522,110.490601
GS MART (NUSARIA),"NO 5,7 & 9 JALAN NUSARIA 4/7 TAMAN NUSANTARA 79200 ISKANDAR PUTERI JOHOR",JOHOR,1.4596118,103.5803462
MY MIX MART SDN BHD (TMN AIR BIRU) (HQ),"NO 12, 14,16,18 JALAN 10/28, TAMAN AIR BIRU 81700 PASIR GUDANG JOHOR",JOHOR,1.4598288,103.906719
EVERWIN CENTRE (KOTA SAMARAHAN) SDN BHD,"NO.14 TO 27 (G/F) & 17-28(1ST FFOOR), UNI MEDIA COMMERCIAL CENTRE JALAN UNI MEDIA, KOTA SAMARAHAN EXPRESSWAY 94300 KOTA SAMARAHAN SARAWAK",SARAWAK,1.461425,110.417946
PASARAYA JIASON SDN BHD (PASIR GUDANG),"17-24, JALAN 10/17, PERCEDAIAN PERJIRANAN 8, 81700 PASIR GUDANG JOHOR",JOHOR,1.4651957,103.9066428
GOLDEN DRAGON CITY ENTERPRISE (KOTA SAMARAHAN),LOT 5597-5603 UNI SQUARE COMMERCIAL CENTRE KUCHING-SAMARAHAN EXPRESSWAY 94300 KOTA SAMARAHAN SARAWAK,SARAWAK,1.4695546,110.4068601
